PRIMARY_COM_NAME;SCI_NAME
Common Ostrich;Struthio camelus
Somali Ostrich;Struthio molybdophanes
Common/Somali Ostrich;Struthio camelus/molybdophanes
Southern Cassowary;Casuarius casuarius
Dwarf Cassowary;Casuarius bennetti
Northern Cassowary;Casuarius unappendiculatus
Emu;Dromaius novaehollandiae
Southern Brown Kiwi;Apteryx australis
Southern Brown Kiwi (South I.);Apteryx australis australis
Southern Brown Kiwi (Stewart I.);Apteryx australis lawryi
Okarito Brown Kiwi;Apteryx rowi
North Island Brown Kiwi;Apteryx mantelli
Southern Brown x North Island Brown Kiwi (hybrid);Apteryx australis x mantelli
Little Spotted Kiwi;Apteryx owenii
Okarito Brown x Little Spotted Kiwi (hybrid);Apteryx rowi x owenii
Great Spotted Kiwi;Apteryx maxima
kiwi sp.;Apteryx sp.
Greater Rhea;Rhea americana
Lesser Rhea;Rhea pennata
Lesser Rhea (Puna);Rhea pennata tarapacensis/garleppi
Lesser Rhea (Darwin's);Rhea pennata pennata
Puna Tinamou;Tinamotis pentlandii
Patagonian Tinamou;Tinamotis ingoufi
Quebracho Crested-Tinamou;Eudromia formosa
Elegant Crested-Tinamou;Eudromia elegans
Elegant Crested-Tinamou (Northern);Eudromia elegans [intermedia Group]
Elegant Crested-Tinamou (Southern);Eudromia elegans [elegans Group]
Dwarf Tinamou;Taoniscus nanus
White-bellied Nothura;Nothura boraquira
Lesser Nothura;Nothura minor
Darwin's Nothura;Nothura darwinii
Spotted Nothura;Nothura maculosa
White-bellied/Spotted Nothura;Nothura boraquira/maculosa
Lesser/Spotted Nothura;Nothura minor/maculosa
Darwin's/Spotted Nothura;Nothura darwinii/maculosa
Huayco Tinamou;Rhynchotus maculicollis
Red-winged Tinamou;Rhynchotus rufescens
Brushland Tinamou;Nothoprocta cinerascens
Andean Tinamou;Nothoprocta pentlandii
Andean Tinamou (Northern);Nothoprocta pentlandii [oustaleti Group]
Andean Tinamou (Southern);Nothoprocta pentlandii [pentlandii Group]
Curve-billed Tinamou;Nothoprocta curvirostris
Ornate Tinamou;Nothoprocta ornata
Taczanowski's Tinamou;Nothoprocta taczanowskii
Chilean Tinamou;Nothoprocta perdicaria
Nothoprocta sp.;Nothoprocta sp.
Tawny-breasted Tinamou;Nothocercus julius
Hooded Tinamou;Nothocercus nigrocapillus
Highland Tinamou;Nothocercus bonapartei
Highland Tinamou (Costa Rican);Nothocercus bonapartei frantzii
Highland Tinamou (South American);Nothocercus bonapartei [bonapartei Group]
Great Tinamou;Tinamus major
Solitary Tinamou;Tinamus solitarius
Gray Tinamou;Tinamus tao
White-throated Tinamou;Tinamus guttatus
Black Tinamou;Tinamus osgoodi
Black Tinamou (Colombian);Tinamus osgoodi hershkovitzi
Black Tinamou (Peruvian);Tinamus osgoodi osgoodi
Tinamus sp.;Tinamus sp.
Berlepsch's Tinamou;Crypturellus berlepschi
Cinereous Tinamou;Crypturellus cinereus
Tepui Tinamou;Crypturellus ptaritepui
Small-billed Tinamou;Crypturellus parvirostris
Tataupa Tinamou;Crypturellus tataupa
Brown Tinamou;Crypturellus obsoletus
Brown Tinamou (Venezuelan);Crypturellus obsoletus cerviniventris/knoxi
Brown Tinamou (Ecuadorian);Crypturellus obsoletus castaneus
Brown Tinamou (Andean);Crypturellus obsoletus [punensis Group]
Brown Tinamou (Amazonian);Crypturellus obsoletus griseiventris
Brown Tinamou (Atlantic);Crypturellus obsoletus obsoletus
Variegated Tinamou;Crypturellus variegatus
Bartlett's Tinamou;Crypturellus bartletti
Barred Tinamou;Crypturellus casiquiare
Rusty Tinamou;Crypturellus brevirostris
Little Tinamou;Crypturellus soui
Undulated Tinamou;Crypturellus undulatus
Yellow-legged Tinamou;Crypturellus noctivagus
Yellow-legged Tinamou (zabele);Crypturellus noctivagus zabele
Yellow-legged Tinamou (noctivagus);Crypturellus noctivagus noctivagus
Black-capped Tinamou;Crypturellus atrocapillus
